header,type,include_count_unconditional,include_count_conditional,total_tu,ratio_unconditional,gameclient_ratio,in_conditional_dominant,aggregator_coverage,recent_changes_6mo,target_pch
Mesh/StaticMeshAsset.h,project,4,0,233,0.017,0.000,false,,1,unified
Render/Resource/RenderResources.h,project,4,0,233,0.017,0.000,false,,1,unified
utility,system,4,0,233,0.017,0.111,false,coretypes,0,unified
Windows.h,system,4,0,233,0.017,0.000,false,,0,unified
Component/ComponentReferenceUtils.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/DecalComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/Movement/InterpToMovementComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/Movement/PawnMovementComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/Movement/PendulumMovementComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/Movement/ProjectileMovementComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/Movement/RotatingMovementComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Component/SkinnedMeshComponent.h,project,3,0,233,0.013,0.000,false,,1,unified
Core/CollisionTypes.h,project,3,0,233,0.013,0.000,false,,1,unified
Core/ProjectSettings.h,project,3,0,233,0.013,0.000,false,,1,unified
Core/RayTypes.h,project,3,0,233,0.013,0.000,false,,1,unified
cstdio,system,3,0,233,0.013,0.000,false,,0,unified
cwctype,system,3,0,233,0.013,0.000,false,,0,unified
Debug/DrawDebugHelpers.h,project,3,0,233,0.013,0.000,false,,1,unified
Engine/Serialization/Archive.h,project,3,0,233,0.013,0.000,false,,1,unified
GameClient/GameClientViewport.h,project,3,0,233,0.013,0.333,false,,1,unified
Math/Quat.h,project,3,0,233,0.013,0.000,false,,1,unified
Mesh/FBX/FBXSceneAsset.h,project,3,0,233,0.013,0.000,false,,1,unified
Mesh/ObjImporter.h,project,3,0,233,0.013,0.000,false,,1,unified
Mesh/ObjManager.h,project,3,0,233,0.013,0.000,false,,1,unified
Mesh/SkeletalMesh.h,project,3,0,233,0.013,0.000,false,,1,unified
Object/FName.h,project,3,0,233,0.013,0.000,false,,1,unified
Profiling/GPUProfiler.h,project,3,0,233,0.013,0.000,false,,1,unified
Profiling/StartupProfiler.h,project,3,0,233,0.013,0.000,false,,1,unified
Quat.h,project,3,0,233,0.013,0.000,false,math_aggregator,0,unified
Render/Proxy/TextRenderSceneProxy.h,project,3,0,233,0.013,0.000,false,,1,unified
Render/Shader/Shader.h,project,3,0,233,0.013,0.000,false,,1,unified
Render/Types/LODContext.h,project,3,0,233,0.013,0.000,false,,1,unified
Render/Types/RenderTypes.h,project,3,0,233,0.013,0.000,false,,1,unified
Rotator.h,project,3,0,233,0.013,0.000,false,math_aggregator,0,unified
Runtime/ActorPoolSystem.h,project,3,0,233,0.013,0.111,false,,1,unified
Runtime/EngineFactory.h,project,3,0,233,0.013,0.111,false,,1,unified
Serialization/WindowsArchive.h,project,3,0,233,0.013,0.000,false,,1,unified
sstream,system,3,0,233,0.013,0.000,false,,0,unified
string,system,3,0,233,0.013,0.000,false,coretypes,0,unified
unordered_map,system,3,0,233,0.013,0.000,false,coretypes,0,unified
vector,system,3,1,233,0.013,0.000,false,coretypes,0,unified
WICTextureLoader.h,project,3,0,233,0.013,0.000,false,,0,unified
Camera/CameraModifier.h,project,2,0,233,0.009,0.000,false,,1,unified
Camera/CameraShakeModifier.h,project,2,0,233,0.009,0.000,false,,1,unified
Camera/CameraVignetteModifier.h,project,2,0,233,0.009,0.000,false,,1,unified
Collision/OBB.h,project,2,0,233,0.009,0.000,false,,1,unified
Collision/Octree.h,system,2,0,233,0.009,0.000,false,,0,unified
Collision/SpatialPartition.h,system,2,0,233,0.009,0.000,false,,0,unified
Component/GizmoComponent.h,project,2,0,233,0.009,0.000,false,,1,unified
Component/HeightFogComponent.h,project,2,0,233,0.009,0.000,false,,1,unified
Component/Light/LightComponentBase.h,project,2,0,233,0.009,0.000,false,,1,unified
Component/SubUVComponent.h,project,2,0,233,0.009,0.000,false,,1,unified
Core/CoreTypes.h,project,2,0,233,0.009,0.000,false,,1,unified
Core/PropertyTypes.h,project,2,0,233,0.009,0.000,false,,1,unified
Editor/EditorEngine.h,project,2,0,233,0.009,0.000,false,,1,unified
Editor/Packaging/GamePackageSmokeTester.h,project,2,0,233,0.009,0.000,false,,1,unified
Engine/Input/GameplayInputRouter.h,project,2,0,233,0.009,0.111,false,,1,unified
Engine/Platform/CrashDump.h,project,2,0,233,0.009,0.000,false,,1,unified
Engine/Platform/DirectoryWatcher.h,project,2,0,233,0.009,0.111,false,,1,unified
Engine/Profiling/MemoryStats.h,project,2,0,233,0.009,0.000,false,,1,unified
Engine/Runtime/EngineLoop.h,project,2,0,233,0.009,0.000,false,,1,unified
Engine/Runtime/LoadingScreen.h,project,2,0,233,0.009,0.000,false,,1,unified
Engine/UI/ImGui/ImGuiViewportPresenter.h,project,2,0,233,0.009,0.111,false,,1,unified
FbxAnimationParser.h,project,2,0,233,0.009,0.000,false,,0,unified
FbxMeshGeometryBuilder.h,project,2,0,233,0.009,0.000,false,,0,unified
functional,system,2,0,233,0.009,0.000,false,,0,unified
GameClient/GameClientPackageValidator.h,project,2,0,233,0.009,0.222,false,,1,unified
GameClient/LinkedRuntimeModules.h,project,2,0,233,0.009,0.222,false,,1,unified
GameFramework/CameraActor.h,project,2,0,233,0.009,0.000,false,,1,unified
GameFramework/StaticMeshActor.h,project,2,0,233,0.009,0.000,false,,1,unified
LuaScriptSubsystem.h,project,2,0,233,0.009,0.000,false,,0,unified
MathUtils.h,project,2,0,233,0.009,0.000,false,math_aggregator,0,unified
Matrix.h,project,2,0,233,0.009,0.000,false,math_aggregator,0,unified
Mesh/FBX/FBXManager.h,project,2,0,233,0.009,0.000,false,,1,unified
Mesh/MeshSimplifier.h,project,2,0,233,0.009,0.000,false,,1,unified
Object/UClass.h,project,2,0,233,0.009,0.000,false,,1,unified
Profiling/MemoryStats.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Command/DrawCommandBuilder.h,project,2,0,233,0.009,0.111,false,,1,unified
Render/Pipeline/RenderCollector.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Proxy/BillboardSceneProxy.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Proxy/DecalSceneProxy.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Proxy/SubUVSceneProxy.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Resource/Buffer.h,project,2,0,233,0.009,0.000,false,,1,unified
Render/Snapshot/SnapShotRenderer.h,project,2,0,233,0.009,0.000,false,,1,unified
SceneSaveManager.h,project,2,0,233,0.009,0.000,false,,0,unified
Serialization/PrefabSaveManager.h,project,2,0,233,0.009,0.000,false,,1,unified
Serialization/SceneSaveManager.h,project,2,0,233,0.009,0.111,false,,1,unified
